timeStamp,baseCurrency,foreignCurrency,Open,High,Low,Close,Volume,baseCurrencyNetSentiment,foreignCurrencyNetSentiment,actualMomentum,machinePredictedMomentum
11/2/2018 0:00,USD,CHF,1.00215,1.00251,1.00208,1.00232,2422.079982,P,P,P,P
11/2/2018 1:00,USD,CHF,1.00236,1.00269,1.0021,1.00242,2142.229998,P,P,P,P
11/2/2018 2:00,USD,CHF,1.00241,1.00243,1.00189,1.00198,1823.919999,P,P,P,P
11/2/2018 3:00,USD,CHF,1.00199,1.00214,1.00167,1.0017,1403.320004,P,P,P,P
11/2/2018 4:00,USD,CHF,1.00172,1.00192,1.00111,1.00142,3046.130002,P,P,P,P
11/2/2018 5:00,USD,CHF,1.00139,1.00223,1.00119,1.00141,4811.600029,P,P,P,P
11/2/2018 6:00,USD,CHF,1.00141,1.00189,1.00118,1.00183,3031.840009,P,P,P,P
11/2/2018 7:00,USD,CHF,1.00183,1.00196,1.00048,1.00069,5316.100013,P,P,P,P
11/2/2018 8:00,USD,CHF,1.0007,1.00105,1.0001,1.00043,5297.990038,P,P,P,P
11/2/2018 9:00,USD,CHF,1.00042,1.00073,0.99903,0.9994,3973.960023,P,P,P,P
11/2/2018 10:00,USD,CHF,0.9994,0.99958,0.99718,0.99751,4194.500012,P,P,P,P
11/2/2018 11:00,USD,CHF,0.9975,0.99778,0.99679,0.99715,3236.210018,P,P,P,P
11/2/2018 12:00,USD,CHF,0.99714,1.00029,0.99697,1.00019,7199.40003,P,P,P,P
11/2/2018 13:00,USD,CHF,1.00021,1.00132,0.99986,1.00055,6322.180053,P,P,P,P
11/2/2018 14:00,USD,CHF,1.00055,1.00115,0.99995,1.00091,7082.980041,P,P,P,P
11/2/2018 15:00,USD,CHF,1.00091,1.00391,1.00083,1.00353,9006.490016,P,P,P,P
11/2/2018 16:00,USD,CHF,1.00354,1.00376,1.00252,1.00291,5105.009995,P,P,P,P
11/2/2018 17:00,USD,CHF,1.0029,1.00439,1.00276,1.00384,4444.809994,P,P,P,P
11/2/2018 18:00,USD,CHF,1.00386,1.00483,1.00357,1.00476,4435.529994,P,P,P,P
11/2/2018 19:00,USD,CHF,1.00475,1.00475,1.00323,1.00326,3504.239998,P,P,P,P
11/2/2018 20:00,USD,CHF,1.00324,1.0038,1.00318,1.00318,870.9300014,P,P,P,P
11/4/2018 22:00,USD,CHF,1.00293,1.00301,1.00232,1.00269,4093.000034,P,P,P,P
11/4/2018 23:00,USD,CHF,1.00267,1.00312,1.00238,1.00239,1195.890002,P,P,P,P
11/5/2018 0:00,USD,CHF,1.00239,1.00325,1.00239,1.00313,1695.619993,P,P,P,P
11/5/2018 1:00,USD,CHF,1.00315,1.0038,1.00313,1.0037,2048.079996,P,P,P,P
11/5/2018 2:00,USD,CHF,1.0037,1.00426,1.00357,1.00419,1773.600018,P,P,P,P
11/5/2018 3:00,USD,CHF,1.00418,1.00448,1.00407,1.00446,1394.690012,P,P,P,P
11/5/2018 4:00,USD,CHF,1.00446,1.00457,1.00425,1.00448,1366.339996,P,P,P,P
11/5/2018 5:00,USD,CHF,1.00448,1.00458,1.00397,1.00414,1769.62,P,P,P,P
11/5/2018 6:00,USD,CHF,1.00415,1.00429,1.0037,1.00425,2528.370011,P,P,P,P
11/5/2018 7:00,USD,CHF,1.00424,1.00443,1.00314,1.00411,3495.940026,P,P,P,P
11/5/2018 8:00,USD,CHF,1.0041,1.00488,1.00351,1.00472,4407.020033,P,P,P,P
11/5/2018 9:00,USD,CHF,1.0047,1.00532,1.00448,1.00491,3206.620007,P,P,P,P
11/5/2018 10:00,USD,CHF,1.00492,1.00531,1.0043,1.00458,3103.280022,P,P,P,P
11/5/2018 11:00,USD,CHF,1.00457,1.00688,1.00446,1.0062,3282.590025,P,P,P,P
11/5/2018 12:00,USD,CHF,1.00619,1.00686,1.00583,1.00653,3912.930022,P,P,P,P
11/5/2018 13:00,USD,CHF,1.00653,1.00653,1.00506,1.0051,3910.860044,P,P,P,P
11/5/2018 14:00,USD,CHF,1.0051,1.00518,1.00396,1.00426,4302.52002,P,P,P,P
11/5/2018 15:00,USD,CHF,1.00438,1.00526,1.00356,1.00522,5971.400029,P,P,P,P
11/5/2018 16:00,USD,CHF,1.00524,1.00555,1.00455,1.00555,3741.190026,P,P,P,P
11/5/2018 17:00,USD,CHF,1.00555,1.00565,1.00454,1.00479,2719.06999,P,P,P,P
11/5/2018 18:00,USD,CHF,1.00479,1.00488,1.003,1.00311,4032.779997,P,P,P,P
11/5/2018 19:00,USD,CHF,1.00311,1.00425,1.0031,1.0038,3780.289997,P,P,P,P
11/5/2018 20:00,USD,CHF,1.0038,1.00443,1.00379,1.00426,2744.399995,P,P,P,P
11/5/2018 21:00,USD,CHF,1.00428,1.00459,1.00412,1.00437,933.4600053,P,P,P,P
11/5/2018 22:00,USD,CHF,1.00436,1.00457,1.0035,1.00414,1334.49,P,P,P,P
11/5/2018 23:00,USD,CHF,1.0042,1.00451,1.00411,1.0044,669.5900128,P,P,P,P
11/6/2018 0:00,USD,CHF,1.00439,1.00456,1.00417,1.00432,2251.369996,P,P,P,P
11/6/2018 1:00,USD,CHF,1.00431,1.00487,1.00423,1.00464,2185.480006,P,P,P,P
11/6/2018 2:00,USD,CHF,1.00464,1.00484,1.00437,1.00458,2109.840006,P,P,P,P
11/6/2018 3:00,USD,CHF,1.00457,1.00495,1.00456,1.00484,1375.46001,P,P,P,P
11/6/2018 4:00,USD,CHF,1.00486,1.00552,1.00486,1.00531,2404.970007,P,P,P,P
11/6/2018 5:00,USD,CHF,1.00531,1.00533,1.00434,1.00436,1915.520001,P,P,P,P
11/6/2018 6:00,USD,CHF,1.00436,1.00499,1.004,1.00403,2602.600024,P,P,P,P
11/6/2018 7:00,USD,CHF,1.00401,1.00457,1.00364,1.00389,2993.270015,P,P,P,P
11/6/2018 8:00,USD,CHF,1.00387,1.00457,1.00334,1.00381,3952.090026,P,P,P,P
11/6/2018 9:00,USD,CHF,1.00381,1.00471,1.00355,1.00463,3250.060014,P,P,P,P
